agriculture,,,,,
,,,,Evangelos Triantaphyllou,http://csc.lsu.edu/trianta/
,,,,Brygg Ullmer,http://www.cse.lsu.edu/people/faculty/facstaff/brygg.ullmer
,,,,Qingyang Wang,http://csc.lsu.edu/~qywang/
,,,,R. Clint Whaley,http://csc.lsu.edu/~whaley/
,,,,Jian Zhang,http://www.cse.lsu.edu/people/faculty/facstaff/jian.zhang
human science and education,,,,,
,library and info science,ok,http://sites01.lsu.edu/wp/slis/staff/,,
,,,,Carol Barry,http://sites01.lsu.edu/wp/slis/faculty-carol-barry/
,,,,Edward Benoit III,http://sites01.lsu.edu/wp/slis/faculty-ed-benoit-iii/
,,,,Bert Boyce,http://sites01.lsu.edu/wp/slis/faculty-bert-boyce/
,,,,Tao Jin,http://sites01.lsu.edu/wp/slis/faculty-tao-jin/
,,,,Boryung Ju,http://sites01.lsu.edu/wp/slis/faculty-boryung-ju/
,,,,Suzanne M. Stauffer,http://sites01.lsu.edu/wp/slis/faculty-stauffer/
,,,,Brenton Stewart,http://sites01.lsu.edu/wp/slis/faculty-brenton-stewart/
,,,,Yejun Wu,http://www.csc.lsu.edu/~wuyj/
,,,,Seungwon Yang,http://sites01.lsu.edu/wp/slis/faculty-seungwon-yang/
